subject,schedule,difficulty,habit,GroupName
web development,morning,advanced,Complex tasks; critical thinking; journaling ideas,Study_We_MA
web development,afternoon,beginner,Interactive learning; group study; mini-recaps,Study_We_AB
web development,afternoon,intermediate,Apply knowledge; concept mapping; review walk,Study_We_AI
web development,afternoon,advanced,Project work; collaboration; skill layering,Study_We_AA
web development,evening,beginner,Light reading; practice problems; reward session,Study_We_EB
web development,evening,intermediate,Revision; experimentation; peer discussion,Study_We_EI
web development,evening,advanced,Self-assessment; mentoring; review loop,Study_We_EA
mobile development,morning,beginner,"Short, structured lessons; review notes; set goals",Study_Mo_MB
mobile development,morning,intermediate,Deep study sessions; teach-back; Pomodoro,Study_Mo_MI
mobile development,morning,advanced,Complex tasks; critical thinking; journaling ideas,Study_Mo_MA
mobile development,afternoon,beginner,Interactive learning; group study; mini-recaps,Study_Mo_AB
mobile development,afternoon,intermediate,Apply knowledge; concept mapping; review walk,Study_Mo_AI
mobile development,afternoon,advanced,Project work; collaboration; skill layering,Study_Mo_AA
mobile development,evening,beginner,Light reading; practice problems; reward session,Study_Mo_EB
mobile development,evening,intermediate,Revision; experimentation; peer discussion,Study_Mo_EI
mobile development,evening,advanced,Self-assessment; mentoring; review loop,Study_Mo_EA
ai & machine learning,morning,beginner,"Short, structured lessons; review notes; set goals",Study_Ai_MB
ai & machine learning,morning,intermediate,Deep study sessions; teach-back; Pomodoro,Study_Ai_MI
ai & machine learning,morning,advanced,Complex tasks; critical thinking; journaling ideas,Study_Ai_MA
ai & machine learning,afternoon,beginner,Interactive learning; group study; mini-recaps,Study_Ai_AB
ai & machine learning,afternoon,intermediate,Apply knowledge; concept mapping; review walk,Study_Ai_AI
ai & machine learning,afternoon,advanced,Project work; collaboration; skill layering,Study_Ai_AA
ai & machine learning,evening,beginner,Light reading; practice problems; reward session,Study_Ai_EB
ai & machine learning,evening,intermediate,Revision; experimentation; peer discussion,Study_Ai_EI
ai & machine learning,evening,advanced,Self-assessment; mentoring; review loop,Study_Ai_EA
data science,morning,beginner,"Short, structured lessons; review notes; set goals",Study_Da_MB
data science,morning,intermediate,Deep study sessions; teach-back; Pomodoro,Study_Da_MI
data science,morning,advanced,Complex tasks; critical thinking; journaling ideas,Study_Da_MA
data science,afternoon,beginner,Interactive learning; group study; mini-recaps,Study_Da_AB
data science,afternoon,intermediate,Apply knowledge; concept mapping; review walk,Study_Da_AI
data science,afternoon,advanced,Project work; collaboration; skill layering,Study_Da_AA
data science,evening,beginner,Light reading; practice problems; reward session,Study_Da_EB
data science,evening,intermediate,Revision; experimentation; peer discussion,Study_Da_EI
data science,evening,advanced,Self-assessment; mentoring; review loop,Study_Da_EA
cybersecurity,morning,beginner,"Short, structured lessons; review notes; set goals",Study_Cy_MB
cybersecurity,morning,intermediate,Deep study sessions; teach-back; Pomodoro,Study_Cy_MI
cybersecurity,morning,advanced,Complex tasks; critical thinking; journaling ideas,Study_Cy_MA
cybersecurity,afternoon,beginner,Interactive learning; group study; mini-recaps,Study_Cy_AB
cybersecurity,afternoon,intermediate,Apply knowledge; concept mapping; review walk,Study_Cy_AI
cybersecurity,afternoon,advanced,Project work; collaboration; skill layering,Study_Cy_AA
cybersecurity,evening,beginner,Light reading; practice problems; reward session,Study_Cy_EB
cybersecurity,evening,intermediate,Revision; experimentation; peer discussion,Study_Cy_EI
cybersecurity,evening,advanced,Self-assessment; mentoring; review loop,Study_Cy_EA
blockchain,morning,beginner,"Short, structured lessons; review notes; set goals",Study_Bl_MB
blockchain,morning,intermediate,Deep study sessions; teach-back; Pomodoro,Study_Bl_MI
blockchain,morning,advanced,Complex tasks; critical thinking; journaling ideas,Study_Bl_MA
blockchain,afternoon,beginner,Interactive learning; group study; mini-recaps,Study_Bl_AB
blockchain,afternoon,intermediate,Apply knowledge; concept mapping; review walk,Study_Bl_AI
blockchain,afternoon,advanced,Project work; collaboration; skill layering,Study_Bl_AA
blockchain,evening,beginner,Light reading; practice problems; reward session,Study_Bl_EB
blockchain,evening,intermediate,Revision; experimentation; peer discussion,Study_Bl_EI
blockchain,evening,advanced,Self-assessment; mentoring; review loop,Study_Bl_EA
game development,morning,beginner,"Short, structured lessons; review notes; set goals",Study_Ga_MB
game development,morning,intermediate,Deep study sessions; teach-back; Pomodoro,Study_Ga_MI
game development,morning,advanced,Complex tasks; critical thinking; journaling ideas,Study_Ga_MA
game development,afternoon,beginner,Interactive learning; group study; mini-recaps,Study_Ga_AB
game development,afternoon,intermediate,Apply knowledge; concept mapping; review walk,Study_Ga_AI
game development,afternoon,advanced,Project work; collaboration; skill layering,Study_Ga_AA
game development,evening,beginner,Light reading; practice problems; reward session,Study_Ga_EB
game development,evening,intermediate,Revision; experimentation; peer discussion,Study_Ga_EI
game development,evening,advanced,Self-assessment; mentoring; review loop,Study_Ga_EA
cloud computing,morning,beginner,"Short, structured lessons; review notes; set goals",Study_Cl_MB
cloud computing,morning,intermediate,Deep study sessions; teach-back; Pomodoro,Study_Cl_MI
cloud computing,morning,advanced,Complex tasks; critical thinking; journaling ideas,Study_Cl_MA
cloud computing,afternoon,beginner,Interactive learning; group study; mini-recaps,Study_Cl_AB
cloud computing,afternoon,intermediate,Apply knowledge; concept mapping; review walk,Study_Cl_AI
cloud computing,afternoon,advanced,Project work; collaboration; skill layering,Study_Cl_AA
cloud computing,evening,beginner,Light reading; practice problems; reward session,Study_Cl_EB
cloud computing,evening,intermediate,Revision; experimentation; peer discussion,Study_Cl_EI
cloud computing,evening,advanced,Self-assessment; mentoring; review loop,Study_Cl_EA
devops,morning,beginner,"Short, structured lessons; review notes; set goals",Study_De_MB
devops,morning,intermediate,Deep study sessions; teach-back; Pomodoro,Study_De_MI
devops,morning,advanced,Complex tasks; critical thinking; journaling ideas,Study_De_MA
devops,afternoon,beginner,Interactive learning; group study; mini-recaps,Study_De_AB
devops,afternoon,intermediate,Apply knowledge; concept mapping; review walk,Study_De_AI
devops,afternoon,advanced,Project work; collaboration; skill layering,Study_De_AA
devops,evening,beginner,Light reading; practice problems; reward session,Study_De_EB
devops,evening,intermediate,Revision; experimentation; peer discussion,Study_De_EI
devops,evening,advanced,Self-assessment; mentoring; review loop,Study_De_EA
iot,morning,beginner,"Short, structured lessons; review notes; set goals",Study_Io_MB
iot,morning,intermediate,Deep study sessions; teach-back; Pomodoro,Study_Io_MI
iot,morning,advanced,Complex tasks; critical thinking; journaling ideas,Study_Io_MA
iot,afternoon,beginner,Interactive learning; group study; mini-recaps,Study_Io_AB
iot,afternoon,intermediate,Apply knowledge; concept mapping; review walk,Study_Io_AI
iot,afternoon,advanced,Project work; collaboration; skill layering,Study_Io_AA
iot,evening,beginner,Light reading; practice problems; reward session,Study_Io_EB
iot,evening,intermediate,Revision; experimentation; peer discussion,Study_Io_EI
iot,evening,advanced,Self-assessment; mentoring; review loop,Study_Io_EA
ar/vr,morning,beginner,"Short, structured lessons; review notes; set goals",Study_Ar_MB
ar/vr,morning,intermediate,Deep study sessions; teach-back; Pomodoro,Study_Ar_MI
ar/vr,morning,advanced,Complex tasks; critical thinking; journaling ideas,Study_Ar_MA
ar/vr,afternoon,beginner,Interactive learning; group study; mini-recaps,Study_Ar_AB
ar/vr,afternoon,intermediate,Apply knowledge; concept mapping; review walk,Study_Ar_AI
ar/vr,afternoon,advanced,Project work; collaboration; skill layering,Study_Ar_AA
ar/vr,evening,beginner,Light reading; practice problems; reward session,Study_Ar_EB
ar/vr,evening,intermediate,Revision; experimentation; peer discussion,Study_Ar_EI
ar/vr,evening,advanced,Self-assessment; mentoring; review loop,Study_Ar_EA
robotics,morning,beginner,"Short, structured lessons; review notes; set goals",Study_Ro_MB
robotics,morning,intermediate,Deep study sessions; teach-back; Pomodoro,Study_Ro_MI
robotics,morning,advanced,Complex tasks; critical thinking; journaling ideas,Study_Ro_MA
robotics,afternoon,beginner,Interactive learning; group study; mini-recaps,Study_Ro_AB
robotics,afternoon,intermediate,Apply knowledge; concept mapping; review walk,Study_Ro_AI
robotics,afternoon,advanced,Project work; collaboration; skill layering,Study_Ro_AA
robotics,evening,beginner,Light reading; practice problems; reward session,Study_Ro_EB
robotics,evening,intermediate,Revision; experimentation; peer discussion,Study_Ro_EI
robotics,evening,advanced,Self-assessment; mentoring; review loop,Study_Ro_EA
bioinformatics,morning,beginner,"Short, structured lessons; review notes; set goals",Study_Bi_MB
bioinformatics,morning,intermediate,Deep study sessions; teach-back; Pomodoro,Study_Bi_MI
bioinformatics,morning,advanced,Complex tasks; critical thinking; journaling ideas,Study_Bi_MA
bioinformatics,afternoon,beginner,Interactive learning; group study; mini-recaps,Study_Bi_AB
bioinformatics,afternoon,intermediate,Apply knowledge; concept mapping; review walk,Study_Bi_AI
bioinformatics,afternoon,advanced,Project work; collaboration; skill layering,Study_Bi_AA
bioinformatics,evening,beginner,Light reading; practice problems; reward session,Study_Bi_EB
bioinformatics,evening,intermediate,Revision; experimentation; peer discussion,Study_Bi_EI
bioinformatics,evening,advanced,Self-assessment; mentoring; review loop,Study_Bi_EA
embedded systems,morning,beginner,"Short, structured lessons; review notes; set goals",Study_Em_MB
embedded systems,morning,intermediate,Deep study sessions; teach-back; Pomodoro,Study_Em_MI
embedded systems,morning,advanced,Complex tasks; critical thinking; journaling ideas,Study_Em_MA
embedded systems,afternoon,beginner,Interactive learning; group study; mini-recaps,Study_Em_AB
embedded systems,afternoon,intermediate,Apply knowledge; concept mapping; review walk,Study_Em_AI
embedded systems,afternoon,advanced,Project work; collaboration; skill layering,Study_Em_AA
embedded systems,evening,beginner,Light reading; practice problems; reward session,Study_Em_EB
embedded systems,evening,intermediate,Revision; experimentation; peer discussion,Study_Em_EI
embedded systems,evening,advanced,Self-assessment; mentoring; review loop,Study_Em_EA
quantum computing,morning,beginner,"Short, structured lessons; review notes; set goals",Study_Qu_MB
quantum computing,morning,intermediate,Deep study sessions; teach-back; Pomodoro,Study_Qu_MI
quantum computing,morning,advanced,Complex tasks; critical thinking; journaling ideas,Study_Qu_MA
quantum computing,afternoon,beginner,Interactive learning; group study; mini-recaps,Study_Qu_AB
quantum computing,afternoon,intermediate,Apply knowledge; concept mapping; review walk,Study_Qu_AI
quantum computing,afternoon,advanced,Project work; collaboration; skill layering,Study_Qu_AA
quantum computing,evening,beginner,Light reading; practice problems; reward session,Study_Qu_EB
quantum computing,evening,intermediate,Revision; experimentation; peer discussion,Study_Qu_EI
quantum computing,evening,advanced,Self-assessment; mentoring; review loop,Study_Qu_EA
ruby,evening,intermediate,Revision; experimentation; peer discussion,Study_Ru_EI
dart,evening,beginner,Light reading; practice problems; reward session,Study_Da_EB
robotics,morning,intermediate,Deep study sessions; teach-back; Pomodoro,Study_Ro_MI
dart,afternoon,intermediate,Apply knowledge; concept mapping; review walk,Study_Da_AI
data science,afternoon,intermediate,Apply knowledge; concept mapping; review walk,Study_Da_AI
iot,afternoon,beginner,Interactive learning; group study; mini-recaps,Study_Io_AB
quantum computing,evening,intermediate,Revision; experimentation; peer discussion,Study_Qu_EI
php,afternoon,advanced,Project work; collaboration; skill layering,Study_Ph_AA
kotlin,morning,intermediate,Deep study sessions; teach-back; Pomodoro,Study_Ko_MI
c,evening,intermediate,Revision; experimentation; peer discussion,Study_C_EI
go,evening,advanced,Self-assessment; mentoring; review loop,Study_Go_EA
dart,evening,intermediate,Revision; experimentation; peer discussion,Study_Da_EI
powershell,morning,advanced,Complex tasks; critical thinking; journaling ideas,Study_Po_MA
devops,morning,advanced,Complex tasks; critical thinking; journaling ideas,Study_De_MA
cybersecurity,afternoon,intermediate,Apply knowledge; concept mapping; review walk,Study_Cy_AI
elixir,evening,intermediate,Revision; experimentation; peer discussion,Study_El_EI
dart,morning,beginner,"Short, structured lessons; review notes; set goals",Study_Da_MB
data science,evening,advanced,Self-assessment; mentoring; review loop,Study_Da_EA
c,morning,advanced,Complex tasks; critical thinking; journaling ideas,Study_C_MA
lisp,evening,beginner,Light reading; practice problems; reward session,Study_Li_EB
cybersecurity,morning,intermediate,Deep study sessions; teach-back; Pomodoro,Study_Cy_MI
c++,morning,beginner,"Short, structured lessons; review notes; set goals",Study_C+_MB
web development,afternoon,advanced,Project work; collaboration; skill layering,Study_We_AA
lisp,afternoon,intermediate,Apply knowledge; concept mapping; review walk,Study_Li_AI
robotics,morning,advanced,Complex tasks; critical thinking; journaling ideas,Study_Ro_MA
typescript,afternoon,beginner,Interactive learning; group study; mini-recaps,Study_Ty_AB
perl,evening,intermediate,Revision; experimentation; peer discussion,Study_Pe_EI
c#,evening,intermediate,Revision; experimentation; peer discussion,Study_C#_EI
lisp,evening,advanced,Self-assessment; mentoring; review loop,Study_Li_EA
blockchain,afternoon,beginner,Interactive learning; group study; mini-recaps,Study_Bl_AB
ruby,morning,beginner,"Short, structured lessons; review notes; set goals",Study_Ru_MB
iot,morning,advanced,Complex tasks; critical thinking; journaling ideas,Study_Io_MA
devops,evening,advanced,Self-assessment; mentoring; review loop,Study_De_EA
ruby,afternoon,advanced,Project work; collaboration; skill layering,Study_Ru_AA
ar/vr,morning,intermediate,Deep study sessions; teach-back; Pomodoro,Study_Ar_MI
python,evening,intermediate,Revision; experimentation; peer discussion,Study_Py_EI
bioinformatics,morning,advanced,Complex tasks; critical thinking; journaling ideas,Study_Bi_MA
python,morning,beginner,"Short, structured lessons; review notes; set goals",Study_Py_MB
powershell,evening,advanced,Self-assessment; mentoring; review loop,Study_Po_EA
ruby,morning,beginner,"Short, structured lessons; review notes; set goals",Study_Ru_MB
